entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I353,14,14,0%,20,20,0%,3,3,0%
I354,41,9,78%,79,11,86%,3,3,0%
I355,25,15,40%,40,23,42%,3,3,0%
I356,4,4,0%,4,4,0%,2,2,0%
I357,4,4,0%,4,4,0%,2,2,0%
I358,3,3,0%,2,2,0%,2,2,0%
I359,3,3,0%,2,2,0%,2,2,0%
I360,3,3,0%,2,2,0%,2,2,0%
I361,3,3,0%,2,2,0%,2,2,0%
I362,14,14,0%,18,18,0%,3,3,0%
I363,14,14,0%,18,18,0%,3,3,0%
I364,7,7,0%,8,8,0%,2,2,0%
I365,3,3,0%,2,2,0%,2,2,0%
I366,4,4,0%,4,4,0%,2,2,0%
I367,5,5,0%,5,5,0%,3,3,0%
I368,4,4,0%,4,4,0%,2,2,0%
I369,3,3,0%,2,2,0%,2,2,0%
I370,3,3,0%,2,2,0%,2,2,0%
I371,9,9,0%,11,11,0%,2,2,0%
I372,14,14,0%,18,18,0%,2,2,0%
I373,4,4,0%,3,3,0%,3,3,0%
I374,3,3,0%,2,2,0%,2,2,0%
I375,15,15,0%,19,19,0%,3,3,0%
I376,3,3,0%,2,2,0%,2,2,0%
I377,6,6,0%,7,7,0%,2,2,0%
I378,3,3,0%,2,2,0%,2,2,0%
I379,3,3,0%,2,2,0%,2,2,0%
I380,4,4,0%,3,3,0%,3,3,0%
I381,3,3,0%,2,2,0%,2,2,0%
I382,5,5,0%,4,4,0%,4,4,0%
I383,3,3,0%,2,2,0%,2,2,0%
