entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I03P18,3,3,0%,2,2,0%,2,2,0%
I03P19,3,3,0%,2,2,0%,2,2,0%
I03P20,3,3,0%,2,2,0%,2,2,0%
I03P21,3,3,0%,2,2,0%,2,2,0%
I03P22,3,3,0%,2,2,0%,2,2,0%
I03P23,3,3,0%,2,2,0%,2,2,0%
I03P24,3,3,0%,2,2,0%,2,2,0%
I03P25,3,3,0%,2,2,0%,2,2,0%
I03P26,3,3,0%,2,2,0%,2,2,0%
I03P27,3,3,0%,2,2,0%,2,2,0%
I03P28,3,3,0%,2,2,0%,2,2,0%
I03P29,3,3,0%,2,2,0%,2,2,0%
I03P30,3,3,0%,2,2,0%,2,2,0%
I03P31,3,3,0%,2,2,0%,2,2,0%
I03P32,3,3,0%,2,2,0%,2,2,0%
I03P33,3,3,0%,2,2,0%,2,2,0%
I03P34,3,3,0%,2,2,0%,2,2,0%
I03P35,3,3,0%,2,2,0%,2,2,0%
I03P36,3,3,0%,2,2,0%,2,2,0%
I03P37,3,3,0%,2,2,0%,2,2,0%
I03P38,3,3,0%,2,2,0%,2,2,0%
I03P39,3,3,0%,2,2,0%,2,2,0%
I03P40,3,3,0%,2,2,0%,2,2,0%
I03P41,3,3,0%,2,2,0%,2,2,0%
I03P42,3,3,0%,2,2,0%,2,2,0%
I03P43,3,3,0%,2,2,0%,2,2,0%
I03P44,3,3,0%,2,2,0%,2,2,0%
I03P45,3,3,0%,2,2,0%,2,2,0%
I03P46,3,3,0%,2,2,0%,2,2,0%
I03P47,3,3,0%,2,2,0%,2,2,0%
I03P48,3,3,0%,2,2,0%,2,2,0%
I03P49,3,3,0%,2,2,0%,2,2,0%
I03P50,3,3,0%,2,2,0%,2,2,0%
I03P51,3,3,0%,2,2,0%,2,2,0%
I03P52,3,3,0%,2,2,0%,2,2,0%
I03P53,3,3,0%,2,2,0%,2,2,0%
I03P54,3,3,0%,2,2,0%,2,2,0%
I03P55,3,3,0%,2,2,0%,2,2,0%
I03P56,3,3,0%,2,2,0%,2,2,0%
I03P57,3,3,0%,2,2,0%,2,2,0%
I03P58,3,3,0%,2,2,0%,2,2,0%
I03P59,3,3,0%,2,2,0%,2,2,0%
I03P60,3,3,0%,2,2,0%,2,2,0%
I03P61,3,3,0%,2,2,0%,2,2,0%
I03P62,3,3,0%,2,2,0%,2,2,0%
I03P63,3,3,0%,2,2,0%,2,2,0%
I03P64,3,3,0%,2,2,0%,2,2,0%
I03P65,3,3,0%,2,2,0%,2,2,0%
I03P66,3,3,0%,2,2,0%,2,2,0%
I03P67,3,3,0%,2,2,0%,2,2,0%
I03P68,3,3,0%,2,2,0%,2,2,0%
I03P69,3,3,0%,2,2,0%,2,2,0%
I03P70,3,3,0%,2,2,0%,2,2,0%
I03P71,3,3,0%,2,2,0%,2,2,0%
I03P72,3,3,0%,2,2,0%,2,2,0%
I03P73,3,3,0%,2,2,0%,2,2,0%
I03P74,3,3,0%,2,2,0%,2,2,0%
I03P75,3,3,0%,2,2,0%,2,2,0%
I03P76,3,3,0%,2,2,0%,2,2,0%
I03P77,3,3,0%,2,2,0%,2,2,0%
I03P78,3,3,0%,2,2,0%,2,2,0%
I03P79,3,3,0%,2,2,0%,2,2,0%
I03P80,3,3,0%,2,2,0%,2,2,0%
I03P81,3,3,0%,2,2,0%,2,2,0%
I03P82,3,3,0%,2,2,0%,2,2,0%
I03P83,3,3,0%,2,2,0%,2,2,0%
I03P84,3,3,0%,2,2,0%,2,2,0%
I03P85,3,3,0%,2,2,0%,2,2,0%
I03P86,3,3,0%,2,2,0%,2,2,0%
I03P87,3,3,0%,2,2,0%,2,2,0%
I03P88,3,3,0%,2,2,0%,2,2,0%
I03P89,3,3,0%,2,2,0%,2,2,0%
I03P90,3,3,0%,2,2,0%,2,2,0%
I03P91,3,3,0%,2,2,0%,2,2,0%
I03P92,3,3,0%,2,2,0%,2,2,0%
I03P93,3,3,0%,2,2,0%,2,2,0%
I03P94,3,3,0%,2,2,0%,2,2,0%
I03P95,3,3,0%,2,2,0%,2,2,0%
I04P00,3,3,0%,2,2,0%,2,2,0%
I04P01,3,3,0%,2,2,0%,2,2,0%
I04P02,3,3,0%,2,2,0%,2,2,0%
I04P03,3,3,0%,2,2,0%,2,2,0%
I04P04,3,3,0%,2,2,0%,2,2,0%
I04P05,3,3,0%,2,2,0%,2,2,0%
I04P06,3,3,0%,2,2,0%,2,2,0%
I04P07,3,3,0%,2,2,0%,2,2,0%
I04P08,3,3,0%,2,2,0%,2,2,0%
I04P09,3,3,0%,2,2,0%,2,2,0%
I04P10,3,3,0%,2,2,0%,2,2,0%
I04P11,3,3,0%,2,2,0%,2,2,0%
I04P12,3,3,0%,2,2,0%,2,2,0%
I04P13,3,3,0%,2,2,0%,2,2,0%
I04P14,3,3,0%,2,2,0%,2,2,0%
I04P15,3,3,0%,2,2,0%,2,2,0%
I04P16,3,3,0%,2,2,0%,2,2,0%
I04P17,3,3,0%,2,2,0%,2,2,0%
I04P18,3,3,0%,2,2,0%,2,2,0%
I04P19,3,3,0%,2,2,0%,2,2,0%
I04P20,3,3,0%,2,2,0%,2,2,0%
I04P21,3,3,0%,2,2,0%,2,2,0%
I04P22,3,3,0%,2,2,0%,2,2,0%
I04P23,3,3,0%,2,2,0%,2,2,0%
I04P24,3,3,0%,2,2,0%,2,2,0%
I04P25,3,3,0%,2,2,0%,2,2,0%
I04P26,3,3,0%,2,2,0%,2,2,0%
I04P27,3,3,0%,2,2,0%,2,2,0%
